StimulusId;FileName;Name;Pattern;G1;L1
203;Co.bmp;Co;Circle;C;O
204;Ct.bmp;Ct;Circle;C;T
205;Cu.bmp;Cu;Circle;C;U
206;Cv.bmp;Cv;Circle;C;V
207;Cx.bmp;Cx;Circle;C;X
208;Cy.bmp;Cy;Circle;C;Y
209;Cz.bmp;Cz;Circle;C;Z
210;Da.bmp;Da;Circle;D;A
211;Dc.bmp;Dc;Circle;D;C
212;De.bmp;De;Circle;D;E
213;Df.bmp;Df;Circle;D;F
214;Dh.bmp;Dh;Circle;D;H
215;Dk.bmp;Dk;Circle;D;K
216;Dl.bmp;Dl;Circle;D;L
217;Dm.bmp;Dm;Circle;D;M
218;Dn.bmp;Dn;Circle;D;N
219;Dt.bmp;Dt;Circle;D;T
220;Du.bmp;Du;Circle;D;U
221;Dv.bmp;Dv;Circle;D;V
222;Dx.bmp;Dx;Circle;D;X
223;Dy.bmp;Dy;Circle;D;Y
224;Dz.bmp;Dz;Circle;D;Z
225;Ea.bmp;Ea;Circle;E;A
226;Ec.bmp;Ec;Circle;E;C
227;Ef.bmp;Ef;Circle;E;F
228;Eh.bmp;Eh;Circle;E;H
229;Ek.bmp;Ek;Circle;E;K
230;El.bmp;El;Circle;E;L
231;Em.bmp;Em;Circle;E;M
232;En.bmp;En;Circle;E;N
233;Eo.bmp;Eo;Circle;E;O
234;Et.bmp;Et;Circle;E;T
235;Eu.bmp;Eu;Circle;E;U
236;Ev.bmp;Ev;Circle;E;V
237;Ex.bmp;Ex;Circle;E;X
238;Ey.bmp;Ey;Circle;E;Y
239;Ez.bmp;Ez;Circle;E;Z
240;Fa.bmp;Fa;Circle;F;A
241;Fc.bmp;Fc;Circle;F;C
242;Fe.bmp;Fe;Circle;F;E
243;Fh.bmp;Fh;Circle;F;H
244;Fk.bmp;Fk;Circle;F;K
245;Fl.bmp;Fl;Circle;F;L
246;Fm.bmp;Fm;Circle;F;M
247;Fn.bmp;Fn;Circle;F;N
248;Fo.bmp;Fo;Circle;F;O
249;Ft.bmp;Ft;Circle;F;T
250;Fu.bmp;Fu;Circle;F;U
251;Fv.bmp;Fv;Circle;F;V
252;Fx.bmp;Fx;Circle;F;X
253;Fy.bmp;Fy;Circle;F;Y
254;Fz.bmp;Fz;Circle;F;Z
